x,y,z_terrain,z_physical,z_agl,u,v,w,speed
2.150000e+02,1.850000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.085163e+01,-4.098239e-03,-2.547989e-03,1.085163e+01
2.250000e+02,1.850000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.085054e+01,-4.770170e-03,-2.618211e-03,1.085054e+01
2.350000e+02,1.850000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.084864e+01,-6.056079e-03,-2.729690e-03,1.084864e+01
2.450000e+02,1.850000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.084565e+01,-7.493808e-03,-2.794446e-03,1.084565e+01
2.550000e+02,1.850000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.084160e+01,-8.544789e-03,-2.730662e-03,1.084160e+01
2.650000e+02,1.850000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.083687e+01,-8.677635e-03,-2.473448e-03,1.083687e+01
2.750000e+02,1.850000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.083219e+01,-7.535806e-03,-1.990138e-03,1.083220e+01
2.850000e+02,1.850000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.082845e+01,-5.123432e-03,-1.294787e-03,1.082845e+01
2.950000e+02,1.850000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.082692e+01,-1.813857e-03,-4.495582e-04,1.082692e+01
5.000000e+00,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.085114e+01,1.542460e-03,4.741004e-04,1.085114e+01
1.500000e+01,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.085302e+01,4.625691e-03,1.397058e-03,1.085302e+01
2.500000e+01,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.085802e+01,7.670352e-03,2.240815e-03,1.085803e+01
3.500000e+01,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.086550e+01,1.054133e-02,2.942434e-03,1.086551e+01
4.500000e+01,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.087525e+01,1.295341e-02,3.428959e-03,1.087526e+01
5.500000e+01,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.088674e+01,1.445919e-02,3.623977e-03,1.088675e+01
6.500000e+01,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.089901e+01,1.452007e-02,3.463696e-03,1.089902e+01
7.500000e+01,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.091062e+01,1.269414e-02,2.920395e-03,1.091063e+01
8.500000e+01,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.091987e+01,8.901696e-03,2.024276e-03,1.091988e+01
9.500000e+01,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.092523e+01,3.603677e-03,8.702242e-04,1.092523e+01
1.050000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.092575e+01,-2.289329e-03,-3.978211e-04,1.092575e+01
1.150000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.092140e+01,-7.694100e-03,-1.616830e-03,1.092140e+01
1.250000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.091306e+01,-1.168151e-02,-2.638740e-03,1.091307e+01
1.350000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.090224e+01,-1.375097e-02,-3.360767e-03,1.090224e+01
1.450000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.089063e+01,-1.393491e-02,-3.744189e-03,1.089064e+01
1.550000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.087970e+01,-1.266136e-02,-3.814621e-03,1.087971e+01
1.650000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.087045e+01,-1.052398e-02,-3.646136e-03,1.087046e+01
1.750000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.086333e+01,-8.101301e-03,-3.338188e-03,1.086334e+01
1.850000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.085834e+01,-5.866137e-03,-2.992956e-03,1.085834e+01
1.950000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.085511e+01,-4.157674e-03,-2.695891e-03,1.085511e+01
2.050000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.085308e+01,-3.166318e-03,-2.500110e-03,1.085308e+01
2.150000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.085157e+01,-2.913939e-03,-2.417361e-03,1.085157e+01
2.250000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.084999e+01,-3.272565e-03,-2.420043e-03,1.084999e+01
2.350000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.084785e+01,-4.014984e-03,-2.453366e-03,1.084786e+01
2.450000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.084494e+01,-4.846335e-03,-2.450828e-03,1.084495e+01
2.550000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.084129e+01,-5.430958e-03,-2.347936e-03,1.084129e+01
2.650000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.083723e+01,-5.450626e-03,-2.094475e-03,1.083723e+01
2.750000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.083333e+01,-4.701434e-03,-1.666833e-03,1.083333e+01
2.850000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.083023e+01,-3.187723e-03,-1.077019e-03,1.083024e+01
2.950000e+02,1.950000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.082898e+01,-1.127804e-03,-3.727396e-04,1.082898e+01
